Recipe,Count,Inputs,Outputs
Plutonium Pellet,25.2,"100.00 Non-Fissile Uranium, 25.00 Uranium Waste, 750.00 Electricity",30.00 Plutonium Pellet
Heat-Fused Frame,24.416666666666668,"3.00 Heavy Modular Frame, 150.00 Aluminum Ingot, 24.00 Nitric Acid, 30.00 Fuel, 75.00 Electricity",3.00 Fused Modular Frame
Bauxite (Copper),21.593118693567238,"10.00 Reanimated SAM, 180.00 Copper Ore, 400.00 Electricity",120.00 Bauxite
Ballistic Warp Drive (boost),19.0,"2.50 Thermal Propulsion Rocket, 12.50 Singularity Cell, 5.00 Superposition Oscillator, 100.00 Dark Matter Crystal, 20146.50 Electricity, 4.00 Somersloop",5.00 Ballistic Warp Drive
AI Expansion Server,17.65625,"4.00 Magnetic Field Generator, 4.00 Neural-Quantum Processor, 4.00 Superposition Oscillator, 100.00 Excited Photonic Matter, 2000.00 Electricity","4.00 AI Expansion Server, 100.00 Dark Matter Residue"
Bauxite (Caterium),17.355836845182996,"10.00 Reanimated SAM, 150.00 Caterium Ore, 400.00 Electricity",120.00 Bauxite
Turbo Electric Motor,16.88888888888889,"6.56 Motor, 8.44 Radio Control Unit, 4.69 Electromagnetic Control Rod, 6.56 Rotor, 55.00 Electricity",2.81 Turbo Motor
Sulfuric Acid,15.12,"50.00 Sulfur, 50.00 Water, 30.00 Electricity",50.00 Sulfuric Acid
Ficsite Ingot (Aluminum),13.4375,"60.00 Reanimated SAM, 120.00 Aluminum Ingot, 400.00 Electricity",30.00 Ficsite Ingot
AI Expansion Server (boost),1.0,"10.00 Magnetic Field Generator, 10.00 Neural-Quantum Processor, 10.00 Superposition Oscillator, 250.00 Excited Photonic Matter, 26862.00 Electricity, 4.00 Somersloop","20.00 AI Expansion Server, 500.00 Dark Matter Residue"
